Session ID,Source,Destination,FL,VRF,TimeStamp,Probe GenRate,Packet Counter,Packet Counter Type,Telemetry Period
1,1.1.1.1,1.1.1.5,Spray,Measurement,2024-07-05 14:57:42.825258,1,60,White,1.0
1,1.1.1.2,1.1.1.5,Spray,Measurement,2024-07-05 14:57:42.825258,1,60,White,1.0
1,1.1.1.3,1.1.1.5,Spray,Measurement,2024-07-05 14:57:42.825258,1,60,White,1.0
1,1.1.1.4,1.1.1.5,Spray,Measurement,2024-07-05 14:57:42.825258,1,60,White,1.0
1,1.1.1.5,1.1.1.4,Spray,Measurement,2024-07-05 14:57:42.825258,1,60,White,1.0
1,1.1.1.1,1.1.1.5,Spray,Measurement,2024-07-05 14:57:53.627807,1,60,White,1.0
1,1.1.1.2,1.1.1.5,Spray,Measurement,2024-07-05 14:57:53.627807,1,60,White,1.0
2,1.1.1.5,1.1.1.4,Spray,Measurement,2024-07-05 14:59:43.667396,1,300,White,5.0
