Links ID,Mean latency increase,isolated network,isolated routers
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",340.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668']",340.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666']",334.1666666666667,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592668']",327.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",321.6666666666667,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592668']",321.6666666666667,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",312.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",307.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664']",305.0,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665']",297.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592668']",297.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",297.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",297.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592668']",297.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",297.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666']",294.1666666666667,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592664']",287.5,0,0
"['6569f30442e7f25d7a592668', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666']",286.6666666666667,0,0
